question,answer,disease,reference_url
Is surgery the only way to get rid of bunions?,"Yes, surgery is currently the only way to get rid of bunions.",bunion,https://www.nhs.uk/conditions/bunion/
What does bunion surgery involve?,"The main operation for bunions is an osteotomy. This involves making a small cut in the skin over your big toe, cutting or scraping away the bunion, straightening your toe bone, and fixing your toe bone in place with metal screws or staples put under your skin. These are often left in permanently. Surgery is usually done when you're asleep under general anaesthetic.",bunion,https://www.nhs.uk/conditions/bunion/
What is the recovery time for bunion surgery?,"After the surgery, you'll usually need to stay off your feet as much as possible for at least 2 weeks, avoid driving for 6 to 8 weeks, stay off work for 6 to 12 weeks, and avoid sports for up to 6 months. It can take a while to recover from surgery, and you should expect to experience pain and discomfort during this time.",bunion,https://www.nhs.uk/conditions/bunion/
Can bunions be prevented?,"The cause of bunions is unknown, so it's not clear if you can do anything to prevent them. However, it might help to make sure your shoes are the correct size and have enough room for your toes, and to avoid shoes with high heels or pointy toes.",bunion,https://www.nhs.uk/conditions/bunion/
What are burns and scalds?,"Burns and scalds are damage to the skin, usually caused by heat. Burns are caused by dry heat, while scalds are caused by something wet, such as hot water or steam. Both are treated in the same way.",burns_and_scalds,https://www.nhs.uk/conditions/burns-and-scalds/
How should I treat a burn?,"To treat a burn, immediately get the person away from the heat source to stop the burning. Then, remove any clothing or jewellery near the burnt area, and cool the burn with cool or lukewarm running water for 20 to 30 minutes. Do not use ice, iced water, or any creams or greasy substances like butter. Cover the burn by placing a layer of cling film over it, use painkillers, and raise the affected area if possible to help reduce swelling.",burns_and_scalds,https://www.nhs.uk/conditions/burns-and-scalds/
When should I get medical attention for a burn?,"You should go to a hospital A&E department if you have all chemical and electrical burns, large or deep burns that are bigger than the injured person's hand, burns that cause white or charred skin of any size, or burns on the face, neck, hands, feet, any joints, or genitals. If someone has breathed in smoke or fumes, they should also get medical attention. For children under 10 years old and people at greater risk from the effects of burns or scalds, medical attention is needed after a burn or scald.",burns_and_scalds,https://www.nhs.uk/conditions/burns-and-scalds/
What are the types of burn?,"Burns are assessed by how seriously your skin is damaged and which layers of skin are affected. There are four main types of burn: superficial epidermal burn, superficial dermal burn, deep dermal or partial thickness burn, and full-thickness burn. Each type of burn presents different symptoms and appearance.",burns_and_scalds,https://www.nhs.uk/conditions/burns-and-scalds/
How can I prevent burns and scalds?,"To help reduce the likelihood of serious accidents at home, it's recommended to keep your child out of the kitchen whenever possible, test the temperature of bath water using your elbow before you put your baby or toddler in the bath, keep matches, lighters and lit candles out of young children's sight and reach, and keep hot drinks well away from young children.",burns_and_scalds,https://www.nhs.uk/conditions/burns-and-scalds/
What are the symptoms of breathing in smoke or fumes?,"The symptoms of breathing in smoke or fumes may be delayed and can include coughing, a sore throat, difficulty breathing, and facial burns.",burns_and_scalds,https://www.nhs.uk/conditions/burns-and-scalds/
What should I do if it's an acid or chemical burn?,"If it's an acid or chemical burn, dial 999, carefully try to remove the chemical and any contaminated clothing, and rinse the affected area using as much clean water as possible.",burns_and_scalds,https://www.nhs.uk/conditions/burns-and-scalds/
What are the complications of burns and scalds?,"Complications of burns and scalds may include scarring, skin contractures, nerve damage, and infection.",burns_and_scalds,https://www.nhs.uk/conditions/burns-and-scalds/
How are burns and scalds treated?,"The size and depth of the burn will be assessed, and the affected area cleaned before a dressing is applied. In severe cases, skin graft surgery may be recommended. Depending on the severity of the burn, there are different types of treatments available.",burns_and_scalds,https://www.nhs.uk/conditions/burns-and-scalds/
Are all burns painful?,"No, the amount of pain you feel is not always related to how serious the burn is. Even a very serious burn may be relatively painless.",burns_and_scalds,https://www.nhs.uk/conditions/burns-and-scalds/
What is bursitis?,Bursitis is a condition in which a joint becomes painful and swollen due to inflammation of the fluid-filled sacs known as bursa that cushion your joints.,bursitis,https://www.nhs.uk/conditions/bursitis/
What are the symptoms of bursitis?,"The symptoms of bursitis include joint pain, tenderness or warmth in the affected area, swelling, increased pain when moving or pressing on the joint, and sometimes redness on the skin.",bursitis,https://www.nhs.uk/conditions/bursitis/
Can bursitis affect any joint?,"Yes, bursitis can affect any joint in the body, but it is more common in the shoulders, hips, elbows, and knees.",bursitis,https://www.nhs.uk/conditions/bursitis/
What are some self-treatment options for bursitis?,"Self-treatment options for bursitis include resting the joint as much as possible, using ice packs wrapped in a towel to bring down swelling, and taking painkillers like paracetamol or ibuprofen as needed.",bursitis,https://www.nhs.uk/conditions/bursitis/
When should I see a doctor if I have bursitis?,"You should see a doctor if your symptoms have not improved or are getting worse after 1-2 weeks of self-treatment, you have a high temperature or feel hot and shivery, you cannot move the affected joint, or you have very severe sharp or shooting pains in the joint.",bursitis,https://www.nhs.uk/conditions/bursitis/
What happens during a GP appointment for bursitis?,"During a GP appointment for bursitis, a doctor may take a sample of fluid from the affected joint using a needle for testing and consider further testing or referral for treatment if needed.",bursitis,https://www.nhs.uk/conditions/bursitis/
Can antibiotics be used to treat bursitis?,"Yes, antibiotics may be prescribed for 7 days if bursitis is caused by an infection. However, a steroid injection may be needed to reduce swelling in cases where infection is not present.",bursitis,https://www.nhs.uk/conditions/bursitis/
What surgical treatments may be necessary for severe or recurring bursitis?,"In severe or recurring cases where other treatments have not been effective, the inflamed bursa may need to be surgically drained or removed, but this is rare.",bursitis,https://www.nhs.uk/conditions/bursitis/
What measures can I take to prevent bursitis from recurring?,"Prevention measures for bursitis include maintaining a healthy weight, cleaning any cuts on elbows or knees to prevent infections, warming up properly before exercising, using padding when putting a lot of pressure on joints, and taking regular breaks if doing activities that put pressure on joints.",bursitis,https://www.nhs.uk/conditions/bursitis/
Is bursitis common in certain age groups or genders?,"Bursitis can affect people of all ages and genders, but it is more common in older adults and those who repeatedly put pressure on their joints through heavy lifting, athletic activity, or certain types of manual labor.",bursitis,https://www.nhs.uk/conditions/bursitis/
What should I do if I suspect a C. diff infection?,"Ask for an urgent GP appointment or get help from NHS 111 if you have diarrhoea and you're taking, or have recently taken, antibiotics, have bloody diarrhoea or bleeding from the bottom, or have diarrhoea for more than 7 days.",c_difficile,https://www.nhs.uk/conditions/c-difficile/
What should I do if my symptoms get worse or come back after being treated for C. diff infection?,"Go back to see the GP if your symptoms get worse, you feel very unwell after starting the antibiotics, or your symptoms come back afterwards. If your symptoms return, treatment may need to be repeated.",c_difficile,https://www.nhs.uk/conditions/c-difficile/
What is faecal microbiota transplant and when is it used for treating C. diff infection?,"If the C. diff infection comes back 2 or more times, you may be offered a faecal microbiota transplant. This is where bacteria from a healthy person's poo is put into your gut to help stop the infection.",c_difficile,https://www.nhs.uk/conditions/c-difficile/
How can I prevent spreading C. diff infection?,"C. diff infections can spread very easily. There are some things you can do to reduce the risk of passing it on to others. Stay at home until at least 48 hours after your diarrhoea stops, wash your hands regularly using soap and water, clean the toilet and area around it with disinfectant after each use, and wash clothes and sheets with poo on separately from other washing at the highest possible temperature.",c_difficile,https://www.nhs.uk/conditions/c-difficile/
Can I stop taking antibiotics early if my symptoms have improved after being treated for C. diff infection?,"No, carry on taking your antibiotics until you've finished all your tablets, capsules or liquid, even if you feel better. If you stop your treatment early, your symptoms could come back.",c_difficile,https://www.nhs.uk/conditions/c-difficile/
What is a caesarean section?,"A caesarean section, or C-section, is an operation to deliver your baby through a cut made in your tummy and womb. The cut is usually made across your tummy, just below your bikini line.",caesarean_section,https://www.nhs.uk/conditions/caesarean-section/
Why is a caesarean section carried out?,"A caesarean may be recommended as a planned (elective) procedure or done in an emergency if it's thought a vaginal birth is too risky. This can be due to your baby being in the breech position, you having a low-lying placenta, you having pregnancy-related high blood pressure, certain infections, or if your baby is not getting enough oxygen and nutrients.",caesarean_section,https://www.nhs.uk/conditions/caesarean-section/
When is a planned caesarean usually done?,"A planned caesarean is usually done from the 39th week of pregnancy. If there's time to plan the procedure, your midwife or doctor will discuss the benefits and risks of a caesarean compared with a vaginal birth.",caesarean_section,https://www.nhs.uk/conditions/caesarean-section/
What happens during a caesarean?,"Most caesareans are carried out under spinal or epidural anaesthetic. This mean you'll be awake, but the lower part of your body is numbed so you will not feel any pain. During the procedure, a screen is placed across your body so you cannot see what's being done - the doctors and nurses will let you know what's happening. A cut about 10 to 20cm long will usually be made across your lower tummy and womb so your baby can be delivered. You may feel some tugging and pulling during the procedure, but afterward, you and your birth partner will be able to see and hold your baby as soon as they have been delivered if they're well.",caesarean_section,https://www.nhs.uk/conditions/caesarean-section/
What are the risks of a caesarean?,"A caesarean is generally a very safe procedure, but like any type of surgery, it carries a certain amount of risk. Possible complications include infection of the wound or womb lining, blood clots, excessive bleeding, damage to nearby areas, such as the bladder or the tubes that connect the kidneys and bladder, temporary breathing difficulties in your baby, and accidentally cutting your baby when your womb is opened.",caesarean_section,https://www.nhs.uk/conditions/caesarean-section/
Can you ask for a caesarean if there are no medical reasons for it?,"Some women choose to have a caesarean for non-medical reasons. If you ask your midwife or doctor for a caesarean when there are no medical reasons, they'll explain the overall benefits and risks of a caesarean to you and your baby compared with a vaginal birth. If after discussing all the risks and hearing about all the support on offer you still feel that a vaginal birth is not an acceptable option, you should be offered a planned caesarean.",caesarean_section,https://www.nhs.uk/conditions/caesarean-section/
What should you do if your doctor refuses to perform a caesarean?,"If your doctor is unwilling to perform the operation, they should refer you to a doctor who will.",caesarean_section,https://www.nhs.uk/conditions/caesarean-section/
How long does it take to recover from a caesarean?,"Recovering from a caesarean usually takes longer than recovering from a vaginal delivery. The average stay in the hospital after a caesarean is around 4 days, compared with an average of 2 days for a vaginal birth. You may experience some discomfort in your tummy for the first few days. You'll be offered painkillers to help with this. When you go home, you'll need to take things easy at first. You may need to avoid some activities, such as driving, until you have had your postnatal check-up with the doctor at 6 weeks. The wound in your tummy will eventually form a scar. This may be obvious at first, but it should fade with time and will often be hidden in your pubic hair.",caesarean_section,https://www.nhs.uk/conditions/caesarean-section/
What are the criteria for having vaginal birth after caesarean?,"Most women who have had a caesarean section can safely have a vaginal delivery for their next baby, known as vaginal birth after caesarean (VBAC). But you may need some extra monitoring during labor just to make sure everything is progressing well. Some women may be advised to have another caesarean if they have another baby. This depends on whether a caesarean is still the safest option for them and their baby.",caesarean_section,https://www.nhs.uk/conditions/caesarean-section/
What is the average rate of caesarean births in the UK?,Around 1 in 4 pregnant women in the UK has a caesarean birth.,caesarean_section,https://www.nhs.uk/conditions/caesarean-section/
What is carbon monoxide and how can it affect human health?,"Carbon monoxide is a poisonous gas that can make you seriously ill if you breathe it in. It can cause headache, dizziness, feeling sick or weak, confusion, chest and muscle pain, and shortness of breath. In severe cases, it can lead to unconsciousness, brain damage, and even death.",carbon_monoxide_poisoning,https://www.nhs.uk/conditions/carbon-monoxide-poisoning/
What are the common household appliances that can generate carbon monoxide?,"Common household appliances used for heating and cooking can produce carbon monoxide if they are not installed properly, are faulty, or are poorly maintained. Appliances that can cause carbon monoxide include gas boilers, gas cookers and clay ovens, gas or paraffin heaters, wood, gas and coal fires, and portable generators.",carbon_monoxide_poisoning,https://www.nhs.uk/conditions/carbon-monoxide-poisoning/
What should I do if I suspect that I have carbon monoxide poisoning?,"If you think you might have carbon monoxide poisoning, stop using appliances you think might be making carbon monoxide (such as a boiler, cooker or heater) if you can, open any windows and doors to let fresh air in, go outside, and get medical advice as soon as possible – do not go back into the affected building until you have got advice.",carbon_monoxide_poisoning,https://www.nhs.uk/conditions/carbon-monoxide-poisoning/
What are the symptoms of carbon monoxide poisoning?,"The symptoms of carbon monoxide poisoning include headache, dizziness, feeling sick or being sick, feeling weak, confusion, chest and muscle pain, and shortness of breath. They may come and go and may get worse when you spend time in an affected room or building and get better when you leave or go outside.",carbon_monoxide_poisoning,https://www.nhs.uk/conditions/carbon-monoxide-poisoning/
What can cause carbon monoxide poisoning besides common household appliances?,"Using barbeques or camping stoves inside, and turning on vehicle or lawn mower engines in your garage, can also cause a build-up of carbon monoxide.",carbon_monoxide_poisoning,https://www.nhs.uk/conditions/carbon-monoxide-poisoning/
How can I prevent carbon monoxide poisoning?,"To reduce the risk of carbon monoxide poisoning, make sure you get a carbon monoxide alarm for each room of your home that contains appliances that burn gas, oil, coal or wood, get heating and cooking appliances properly installed and keep them well maintained, make sure your boiler is serviced regularly by a qualified engineer, and keep chimneys and flues clean and well maintained. Do not use a barbeque or camping stove indoors or inside a tent, and do not leave vehicles or other engines on inside garages.",carbon_monoxide_poisoning,https://www.nhs.uk/conditions/carbon-monoxide-poisoning/
What should I do if I suspect a gas appliance is leaking carbon monoxide?,"If you think a gas appliance is leaking carbon monoxide, call the free National Gas Helpline immediately on 0800 111 999. The service is open 24 hours a day, 7 days a week.",carbon_monoxide_poisoning,https://www.nhs.uk/conditions/carbon-monoxide-poisoning/
How to tell if there's carbon monoxide in a room?,"Carbon monoxide gas is colourless and does not smell, so you cannot tell if it is around you. The only way to detect it is by using a carbon monoxide alarm, which is designed to alert you when it detects carbon monoxide in the air.",carbon_monoxide_poisoning,https://www.nhs.uk/conditions/carbon-monoxide-poisoning/
What kind of treatments are available for carbon monoxide poisoning?,"You may need to be checked in hospital if you have carbon monoxide poisoning, especially if you have symptoms of severe carbon monoxide poisoning, are pregnant, are a child or older person, or have anaemia or a condition affecting your lungs, heart or blood vessels. While you are in hospital, you will usually have tests to check the level of carbon monoxide in your blood. If the level is high, you may be given oxygen through a mask.",carbon_monoxide_poisoning,https://www.nhs.uk/conditions/carbon-monoxide-poisoning/
"What should I do if I experience difficulty breathing, sudden confusion, or unconsciousness due to carbon monoxide poisoning?","If you are finding it hard to breathe, suddenly become confused, or someone loses consciousness, call 999 or go to A&E immediately.",carbon_monoxide_poisoning,https://www.nhs.uk/conditions/carbon-monoxide-poisoning/
What is cardiomyopathy?,"Cardiomyopathy is a group of diseases that affect the heart muscle, where the walls of the heart chambers become stretched, thickened or stiff, thus impacting the heart's ability to pump blood around the body.",cardiomyopathy,https://www.nhs.uk/conditions/cardiomyopathy/
What is dilated cardiomyopathy?,"In dilated cardiomyopathy, the muscle walls of the heart become stretched and thin, resulting in improper contraction of the heart muscles and, therefore, an inability to pump blood around the body.",cardiomyopathy,https://www.nhs.uk/conditions/cardiomyopathy/
What are the symptoms of heart failure caused by dilated cardiomyopathy?,"Heart failure typically causes shortness of breath, extreme tiredness, and ankle swelling.",cardiomyopathy,https://www.nhs.uk/conditions/cardiomyopathy/
Who can be affected by dilated cardiomyopathy?,"Both children and adults can be affected by dilated cardiomyopathy. It can occur due to inherited genes, medical conditions, uncontrolled blood pressure, unhealthy lifestyle, or no known cause.",cardiomyopathy,https://www.nhs.uk/conditions/cardiomyopathy/
What is hypertrophic cardiomyopathy?,"Hypertrophic cardiomyopathy is a condition where heart muscle cells enlarge, and the walls of the heart chambers thicken, reducing its ability to hold enough blood or pump it around the body effectively.",cardiomyopathy,https://www.nhs.uk/conditions/cardiomyopathy/
What are the symptoms of hypertrophic cardiomyopathy?,"The symptoms of hypertrophic cardiomyopathy include dizziness, chest pain, shortness of breath, temporary loss of consciousness, and heart rhythm problems.",cardiomyopathy,https://www.nhs.uk/conditions/cardiomyopathy/
What is restrictive cardiomyopathy?,"Restrictive cardiomyopathy is a rare condition diagnosed mostly in children, where the walls of the main heart chambers become stiff and rigid, making it difficult for them to relax and fill up properly with blood, leading to reduced blood flow and heart failure symptoms.",cardiomyopathy,https://www.nhs.uk/conditions/cardiomyopathy/
What is arrhythmogenic right ventricular cardiomyopathy (ARVC)?,"ARVC is a rare genetic condition that affects people in their teenage or young adult years, in which the heart muscle cells become abnormal, leading to heart rhythm problems, reduction in blood flow and eventual heart failure.",cardiomyopathy,https://www.nhs.uk/conditions/cardiomyopathy/
How can cardiomyopathy be diagnosed?,"Cardiomyopathy can be diagnosed by various heart tests and scans, including electrocardiogram, echocardiogram, MRI scan, heart rhythm monitor, and exercise tests.",cardiomyopathy,https://www.nhs.uk/conditions/cardiomyopathy/
What are the lifestyle changes one can make to control cardiomyopathy?,"Certain lifestyle changes can help to control cardiomyopathy symptoms, including eating a healthy diet, doing gentle exercise, quitting smoking (if you smoke), losing weight (if you're overweight), avoiding/reducing alcohol intake, managing stress, getting plenty of sleep, and ensuring any underlying condition such as diabetes is well-controlled.",cardiomyopathy,https://www.nhs.uk/conditions/cardiomyopathy/
What is carotid endarterectomy?,"Carotid endarterectomy is a surgical procedure to remove a build-up of fatty deposits (plaque) in the carotid artery, which causes narrowing of the artery and affects blood flow to the neck, face and brain.",carotid_endarterectomy,https://www.nhs.uk/conditions/carotid-endarterectomy/
What are the consequences of leaving a narrowed carotid artery untreated?,"If a narrowed carotid artery is left untreated, blood flow to the brain may be affected due to blockages or blood clots, resulting in a stroke or a transient ischemic attack (TIA) which can cause temporary or permanent damage.",carotid_endarterectomy,https://www.nhs.uk/conditions/carotid-endarterectomy/
How can carotid endarterectomy help reduce the risk of stroke?,A carotid endarterectomy can significantly reduce the risk of a stroke in people with severely narrowed carotid arteries. It is particularly beneficial for people who have previously had a stroke or a TIA by significantly reducing their risk of having another stroke or TIA.,carotid_endarterectomy,https://www.nhs.uk/conditions/carotid-endarterectomy/
"What should I do if I experience symptoms like numbness or weakness in my face or limbs, speech problems or loss of vision in 1 eye?","It's important to get immediate medical advice if you experience symptoms such as numbness or weakness in your face, arm or leg, speech problems or loss of vision in 1 eye. These symptoms could indicate a narrowed carotid artery and require immediate medical attention.",carotid_endarterectomy,https://www.nhs.uk/conditions/carotid-endarterectomy/
How is carotid endarterectomy performed?,"During the carotid endarterectomy procedure, the surgeon makes a 7 to 10cm cut on the side of the neck and then a small cut is made along the narrowed section of artery to remove the fatty deposits. The artery is then closed with stitches or a patch, and the skin is closed with stitches as well.",carotid_endarterectomy,https://www.nhs.uk/conditions/carotid-endarterectomy/
What are the advantages of using local anesthesia during carotid endarterectomies?,"The advantage of local anesthesia is that it allows the surgeon to monitor brain function while the patient is awake. However, there is no evidence that it is safer or better than general anesthesia.",carotid_endarterectomy,https://www.nhs.uk/conditions/carotid-endarterectomy/
What are the common side effects of carotid endarterectomy?,"After the operation, most people experience temporary numbness or discomfort in the neck. However, there is a small risk of more serious complications, such as stroke or death, in 2-3% of cases. Nevertheless, this risk is much lower than in people with carotid artery disease who haven't chosen to have the operation.",carotid_endarterectomy,https://www.nhs.uk/conditions/carotid-endarterectomy/
Is carotid artery stent placement an alternative to carotid endarterectomy?,"Yes, carotid artery stent placement is an alternative to carotid endarterectomy. It is a less invasive procedure because there is no need to make a cut in the neck. Instead, a mesh cylinder is placed into the narrowed section of the artery to widen it and allow blood to flow more easily.",carotid_endarterectomy,https://www.nhs.uk/conditions/carotid-endarterectomy/
What are the current guidelines for the treatment of narrowed carotid arteries?,"The current guidelines recommend that carotid endarterectomy should be the first line of treatment for most people. This is because carotid stenting is associated with a higher risk of stroke during the procedure, particularly if it's carried out in the first few days after symptoms appear. However, carotid stenting is an important alternative for some people who may otherwise be considered high risk due to other medical problems.",carotid_endarterectomy,https://www.nhs.uk/conditions/carotid-endarterectomy/
How long does it take to recover after carotid endarterectomy?,"After a carotid endarterectomy, the patient will usually be moved to the recovery area of the operating theatre for monitoring for about 3 hours before returning to the vascular ward. Most people are well enough to go home within about 48 hours of the procedure.",carotid_endarterectomy,https://www.nhs.uk/conditions/carotid-endarterectomy/
What are cataracts?,"Cataracts are when the lens, a small transparent disc inside your eye, develops cloudy patches causing blurry, misty vision and eventually blindness.",cataracts,https://www.nhs.uk/conditions/cataracts/
How does age affect the development of cataracts?,"As we get older, our lenses start to become frosted, like bathroom glass, and eventually limit our vision. Cataracts are more common in older adults.",cataracts,https://www.nhs.uk/conditions/cataracts/
What are the symptoms of age-related cataracts?,"Symptoms include blurred or misty vision, sensitivity to bright or glaring lights, difficultly seeing in low light, and faded colors. Individuals may also feel like they need to clean their glasses frequently.",cataracts,https://www.nhs.uk/conditions/cataracts/
Can cataracts affect children?,"Yes, cataracts can affect babies and young children.",cataracts,https://www.nhs.uk/conditions/cataracts/
How are age-related cataracts diagnosed?,"An optician will conduct a series of eye tests, including a visual acuity exam, to check for cataracts. If they are present, the individual may be referred to an ophthalmologist for further testing and treatment.",cataracts,https://www.nhs.uk/conditions/cataracts/
What is the only effective treatment for cataracts?,"Surgery is the only treatment that's proven to be effective for cataracts. If left untreated, cataracts can lead to blindness.",cataracts,https://www.nhs.uk/conditions/cataracts/
How can cataracts impact an individual's ability to drive?,"Cataracts can affect an individual's ability to drive, especially if they have difficulty seeing in bright light or low light conditions. It's important to get regular eye exams if you're experiencing symptoms of cataracts.",cataracts,https://www.nhs.uk/conditions/cataracts/
Do individuals need to inform the DVLA if they have cataracts?,"Individuals do not need to tell the DVLA if they have or previously had cataracts and still meet the visual standards for driving. This is different for those driving commercial vehicles, as there are additional requirements related to glare sensitivity.",cataracts,https://www.nhs.uk/conditions/cataracts/
How do genetics play a role in age-related cataracts?,"Having a family history of cataracts can increase an individual's risk of developing them, as there may be a genetic component.",cataracts,https://www.nhs.uk/conditions/cataracts/
What are some risk factors for developing age-related cataracts?,"Some risk factors include smoking, diabetes, eye injuries, long-term use of steroids, and excessive alcohol consumption.",cataracts,https://www.nhs.uk/conditions/cataracts/
What is catarrh?,Catarrh is a build-up of mucus in your nose and sinuses and phlegm in your throat.,catarrh,https://www.nhs.uk/conditions/catarrh/
What are the common symptoms of catarrh?,"Symptoms of catarrh include a constantly blocked nose, feeling like there's a lump or something stuck in your throat, a frequent need to swallow or cough to try to clear your throat, a feeling that mucus is slowly dripping down the back of your throat (postnasal drip), and a crackling feeling in your ears.",catarrh,https://www.nhs.uk/conditions/catarrh/
How do I know if I have catarrh?,"You may get catarrh if you have an infection like a cold, flu or sinusitis. Symptoms of catarrh include a blocked nose, postnasal drip, and a feeling of something stuck in the throat.",catarrh,https://www.nhs.uk/conditions/catarrh/
How long does catarrh usually last?,"Catarrh usually clears up by itself in a few days, but sometimes it can last longer. See a GP if it lasts longer than a few weeks.",catarrh,https://www.nhs.uk/conditions/catarrh/
What can I do to help ease my catarrh symptoms?,"Drink plenty of water, try using a humidifier to help loosen the mucus in your nose and throat, try gargling with salt water, and try rinsing your nose with salt water.",catarrh,https://www.nhs.uk/conditions/catarrh/
How do I rinse my nose with a homemade salt water solution?,"Boil a pint of water, then leave it to cool. Mix 1 teaspoon of salt and 1 teaspoon of bicarbonate of soda into the water. Stand over a sink, cup the palm of 1 hand and pour a small amount of the solution into it. Sniff the water into 1 nostril at a time. Breathe through your mouth and allow the water to pour back into the sink. Try not to let the water go down the back of your throat. Repeat the first 5 steps up to 3 times a day until your nose feels more comfortable.",catarrh,https://www.nhs.uk/conditions/catarrh/
How can a pharmacist help with catarrh?,"A pharmacist can recommend decongestants or other medicines to help relieve catarrh, as well as salt water nose rinses, which come in several types, including specially designed bottles, nasal sprays, and sachets.",catarrh,https://www.nhs.uk/conditions/catarrh/
When should I see a GP for my catarrh?,"See a GP if you have the symptoms of catarrh for more than a few weeks, as they may want to rule out other conditions that could be causing your catarrh, such as nasal polyps.",catarrh,https://www.nhs.uk/conditions/catarrh/
What causes catarrh?,"Catarrh is your body's natural reaction to things like infection, pollution and cigarette smoke, allergic reactions to things like pollen, dust and pet fur, and conditions that affect the nose, such as nasal polyps.",catarrh,https://www.nhs.uk/conditions/catarrh/
What treatments might a GP suggest for catarrh?,"A GP may suggest trying treatments for catarrh that you can get from a pharmacist, like decongestant medicines and salt water nose rinses. If your catarrh is caused by nasal polyps, a GP may prescribe steroid spray or nose drops. If these do not work, surgery may be needed to remove the polyps.",catarrh,https://www.nhs.uk/conditions/catarrh/
What is a cavernoma?,"A cavernoma is a cluster of abnormal blood vessels, usually found in the brain and spinal cord. It is sometimes known as cavernous angiomas, cavernous haemangiomas or cerebral cavernous malformation (CCM). It looks like a raspberry and varies in size from a few millimetres to several centimetres across.",cavernoma,https://www.nhs.uk/conditions/cavernoma/
What are the symptoms of cavernoma?,"A cavernoma often does not cause symptoms, but when symptoms do occur they can include: bleeding (hemorrhage), seizures, headaches, neurological problems such as dizziness, slurred speech, double vision, balance problems and tremor, weakness, numbness, tiredness, memory problems and difficulty concentrating, and a type of stroke called a hemorrhagic stroke. The severity and duration of symptoms can vary depending on the size, location, and number of cavernomas.",cavernoma,https://www.nhs.uk/conditions/cavernoma/
What causes cavernoma?,"In most cases, there's no clear reason why a person develops a cavernoma. The condition can sometimes run in families - less than 50% of cases are thought to be genetic. But in most cases, cavernomas occur randomly. Genetic testing can be carried out to determine whether a cavernoma is genetic or whether it's occurred randomly. Some cavernoma cases have also been linked to radiation exposure, such as previously having radiotherapy to the brain, usually as a child.",cavernoma,https://www.nhs.uk/conditions/cavernoma/
Who is at risk of developing a cavernoma?,"It's estimated about 1 in every 600 people in the UK has a cavernoma that does not cause symptoms. Every year, around 1 person in every 400,000 in the UK is diagnosed with a cavernoma that has caused symptoms. Most people will develop them between the ages of 20 and 40.",cavernoma,https://www.nhs.uk/conditions/cavernoma/
What is the diagnosis process for cavernoma?,"MRI scans are mainly used to diagnose cavernomas. As symptoms are not always evident, many people are only diagnosed with a cavernoma after having an MRI scan for another reason. A CT scan or angiography can also be used to diagnose cavernoma, but they're not as reliable as an MRI scan.",cavernoma,https://www.nhs.uk/conditions/cavernoma/
How do you monitor the symptoms of cavernoma?,"It's important to closely monitor your symptoms, as any new symptoms might be a sign of a hemorrhage. Any symptoms you have may come and go as the cavernoma bleeds and then reabsorbs blood. Your doctor can advise you about what to do if you experience any new or worsening symptoms. They may also recommend having a further brain scan.",cavernoma,https://www.nhs.uk/conditions/cavernoma/
What are the chances of having a hemorrhage due to cavernoma?,"The risk of having a hemorrhage varies from person to person, depending on whether you have experienced any bleeding before. If you have not had any bleeding before, it's estimated you have a less than 1% chance of experiencing a hemorrhage each year. If your cavernoma has bled previously, your risk of having another hemorrhage is somewhere between 4% and 25% each year.",cavernoma,https://www.nhs.uk/conditions/cavernoma/
What are the treatment options for cavernoma?,"The recommended treatment for cavernoma will vary depending on a person's circumstances and factors such as size, location, and the number of cavernoma. Some cavernoma symptoms, such as headaches and seizures, can be controlled with medication. But more invasive treatment may sometimes be offered to reduce the risk of future hemorrhages. The decision to have such treatment is made on a case-by-case basis in discussion with your doctor.",cavernoma,https://www.nhs.uk/conditions/cavernoma/
"What is neurosurgery, and when is it used to treat cavernoma?","Neurosurgery is a type of surgery that is carried out under general anaesthetic to remove the cavernoma. It is one of the treatments for cavernoma. In most cases, neurosurgery is preferred to stereotactic radiosurgery because the effectiveness of radiosurgery in preventing hemorrhages is unknown. Risks of neurosurgery include stroke and death, although the exact risks depend on the location of the cavernoma.",cavernoma,https://www.nhs.uk/conditions/cavernoma/
Do all people with cavernoma need to stop driving?,"If you have a cavernoma that's causing symptoms, it may affect how you drive. Legally, you have to tell the Driver and Vehicle Licensing Agency (DVLA) that you have a cavernoma. If you have been diagnosed with a cavernoma, you may be advised to stop driving until your symptoms are controlled.",cavernoma,https://www.nhs.uk/conditions/cavernoma/
What is cavernous sinus thrombosis?,"Cavernous sinus thrombosis is a blood clot in the cavernous sinuses, which are hollow spaces located under the brain, behind each eye socket. This condition can be life-threatening.",cavernous_sinus_thrombosis,https://www.nhs.uk/conditions/cavernous-sinus-thrombosis/
What are the symptoms of cavernous sinus thrombosis?,"The common symptoms of cavernous sinus thrombosis include severe headache, particularly around the eye, swelling and bulging of the eye(s) and the surrounding tissues, eye pain that is often severe, double vision, and a high temperature.",cavernous_sinus_thrombosis,https://www.nhs.uk/conditions/cavernous-sinus-thrombosis/
What causes cavernous sinus thrombosis?,"A blood clot can develop when an infection in the face or skull spreads to the cavernous sinuses. The blood clot develops to prevent the infection spreading further, but it can restrict the blood flow from the brain, which can damage the brain, eyes, and nerves running between them. Sometimes, clots can develop without infection.",cavernous_sinus_thrombosis,https://www.nhs.uk/conditions/cavernous-sinus-thrombosis/
